idx,prev_attempt_id,next_attempt_id,gap_steps,prev_phase,next_phase,same_phase,prev_ok,next_ok,origin_l1,origin_linf,same_origin,heading_delta_mod4,critical_l1,same_critical_cell
10,10:12,10:13,87,30,97,0,0,0,5,3,0,3,3,0
10,10:13,10:14,886,97,103,0,0,0,44,35,0,0,40,0
10,10:14,10:15,6948,103,0,0,0,0,62,58,0,0,62,0
10,10:15,10:16,4817,0,0,1,0,0,49,41,0,3,50,0
10,10:16,10:17,2464,0,0,1,0,0,104,60,0,2,94,0
10,10:17,10:18,457,0,0,1,0,0,5,3,0,1,14,0
10,10:18,10:19,130,0,90,0,0,0,8,7,0,0,3,0
10,10:19,10:20,362,90,0,0,0,0,18,17,0,2,29,0
10,10:20,10:21,8635,0,0,1,0,0,21,19,0,1,28,0
10,10:21,10:22,7263,0,102,0,0,0,7,6,0,1,14,0
10,10:22,10:23,360,102,30,0,0,0,20,16,0,2,19,0
10,10:23,10:24,1320,30,24,0,0,0,6,4,0,2,12,0
10,10:24,10:25,2318,24,0,0,0,0,14,11,0,0,21,0
10,10:25,10:26,4901,0,30,0,0,0,5,3,0,3,5,0
10,10:26,10:27,589,30,0,0,0,0,21,12,0,1,20,0
10,10:27,10:28,1019,0,24,0,0,0,17,14,0,1,17,0
10,10:28,10:29,3178,24,103,0,0,0,64,51,0,0,65,0
10,10:29,10:30,1744,103,103,1,0,0,16,10,0,0,34,0
10,10:30,10:31,14365,103,102,0,0,0,91,51,0,3,80,0
10,10:31,10:32,31436,102,0,0,0,0,56,36,0,0,50,0
10,10:32,10:33,13989,0,30,0,0,0,91,69,0,3,89,0
10,10:33,10:34,3481,30,0,0,0,0,77,58,0,1,79,0
10,10:34,10:35,590,0,102,0,0,0,32,23,0,0,32,0
10,10:35,10:36,632,102,0,0,0,0,14,8,0,0,14,0
10,10:36,10:37,26667,0,102,0,0,0,167,111,0,1,171,0
10,10:37,10:38,5875,102,31,0,0,0,91,84,0,3,93,0
10,10:38,10:39,96,31,31,1,0,0,4,2,0,0,3,0
10,10:39,10:40,3455,31,24,0,0,0,55,40,0,1,57,0
10,10:40,10:41,3489,24,30,0,0,0,47,30,0,1,38,0
10,10:41,10:42,4938,30,24,0,0,0,68,55,0,2,70,0
10,10:42,10:43,6482,24,103,0,0,0,66,49,0,2,68,0
10,10:43,10:44,2878,103,0,0,0,0,130,85,0,2,126,0
10,10:44,10:45,1854,0,102,0,0,0,30,15,0,2,14,0
10,10:45,10:46,1679,102,24,0,0,0,43,42,0,1,53,0
