[shard 10] 0/70000000 seeds, 1 converged
[shard 10] 45058000/70000000 seeds, 45058001 converged
[shard 10] 45060000/70000000 seeds, 45060001 converged
[shard 10] 45062000/70000000 seeds, 45062001 converged
[shard 10] 45064000/70000000 seeds, 45064001 converged
[shard 10] 45066000/70000000 seeds, 45066001 converged
[shard 10] 45068000/70000000 seeds, 45068001 converged
[shard 10] 45070000/70000000 seeds, 45070001 converged
[shard 10] 45072000/70000000 seeds, 45072001 converged
[shard 10] 45074000/70000000 seeds, 45074001 converged
[shard 10] 45076000/70000000 seeds, 45076001 converged
[shard 10] 45078000/70000000 seeds, 45078001 converged
[shard 10] 45080000/70000000 seeds, 45080001 converged
[shard 10] 45082000/70000000 seeds, 45082001 converged
[shard 10] 45084000/70000000 seeds, 45084001 converged
[shard 10] 45086000/70000000 seeds, 45086001 converged
[shard 10] 45088000/70000000 seeds, 45088001 converged
[shard 10] 45090000/70000000 seeds, 45090001 converged
[shard 10] 45092000/70000000 seeds, 45092001 converged
[shard 10] 45094000/70000000 seeds, 45094001 converged
[shard 10] 45096000/70000000 seeds, 45096001 converged
[shard 10] 45098000/70000000 seeds, 45098001 converged
[shard 10] 45100000/70000000 seeds, 45100001 converged
[shard 10] 45102000/70000000 seeds, 45102001 converged
[shard 10] 45104000/70000000 seeds, 45104001 converged
[shard 10] 45106000/70000000 seeds, 45106001 converged
[shard 10] 45108000/70000000 seeds, 45108001 converged
[shard 10] 45110000/70000000 seeds, 45110001 converged
[shard 10] 45112000/70000000 seeds, 45112001 converged
[shard 10] 45114000/70000000 seeds, 45114001 converged
[shard 10] 45116000/70000000 seeds, 45116001 converged
[shard 10] 45118000/70000000 seeds, 45118001 converged
[shard 10] 45120000/70000000 seeds, 45120001 converged
[shard 10] 45122000/70000000 seeds, 45122001 converged
[shard 10] 45124000/70000000 seeds, 45124001 converged
[shard 10] 45126000/70000000 seeds, 45126001 converged
[shard 10] 45128000/70000000 seeds, 45128001 converged
[shard 10] 45130000/70000000 seeds, 45130001 converged
[shard 10] 45132000/70000000 seeds, 45132001 converged
[shard 10] 45134000/70000000 seeds, 45134001 converged
[shard 10] 45136000/70000000 seeds, 45136001 converged
[shard 10] 45138000/70000000 seeds, 45138001 converged
[shard 10] 45140000/70000000 seeds, 45140001 converged
[shard 10] 45142000/70000000 seeds, 45142001 converged
[shard 10] 45144000/70000000 seeds, 45144001 converged
[shard 10] 45146000/70000000 seeds, 45146001 converged
[shard 10] 45148000/70000000 seeds, 45148001 converged
[shard 10] 45150000/70000000 seeds, 45150001 converged
[shard 10] 45152000/70000000 seeds, 45152001 converged
[shard 10] 45154000/70000000 seeds, 45154001 converged
[shard 10] 45156000/70000000 seeds, 45156001 converged
[shard 10] 45158000/70000000 seeds, 45158001 converged
[shard 10] 45160000/70000000 seeds, 45160001 converged
[shard 10] 45162000/70000000 seeds, 45162001 converged
[shard 10] 45164000/70000000 seeds, 45164001 converged
[shard 10] 45166000/70000000 seeds, 45166001 converged
[shard 10] 45168000/70000000 seeds, 45168001 converged
[shard 10] 45170000/70000000 seeds, 45170001 converged
[shard 10] 45172000/70000000 seeds, 45172001 converged
[shard 10] 45174000/70000000 seeds, 45174001 converged
[shard 10] 45176000/70000000 seeds, 45176001 converged
[shard 10] 45178000/70000000 seeds, 45178001 converged
[shard 10] 45180000/70000000 seeds, 45180001 converged
[shard 10] 45182000/70000000 seeds, 45182001 converged
[shard 10] 45184000/70000000 seeds, 45184001 converged
[shard 10] 45186000/70000000 seeds, 45186001 converged
[shard 10] 45188000/70000000 seeds, 45188001 converged
[shard 10] 45190000/70000000 seeds, 45190001 converged
[shard 10] 45192000/70000000 seeds, 45192001 converged
[shard 10] 45194000/70000000 seeds, 45194001 converged
[shard 10] 45196000/70000000 seeds, 45196001 converged
[shard 10] 45198000/70000000 seeds, 45198001 converged
[shard 10] 45200000/70000000 seeds, 45200001 converged
[shard 10] 45202000/70000000 seeds, 45202001 converged
[shard 10] 45204000/70000000 seeds, 45204001 converged
[shard 10] 45206000/70000000 seeds, 45206001 converged
[shard 10] 45208000/70000000 seeds, 45208001 converged
[shard 10] 45210000/70000000 seeds, 45210001 converged
[shard 10] 45212000/70000000 seeds, 45212001 converged
[shard 10] 45214000/70000000 seeds, 45214001 converged
[shard 10] 45216000/70000000 seeds, 45216001 converged
[shard 10] 45218000/70000000 seeds, 45218001 converged
[shard 10] 45220000/70000000 seeds, 45220001 converged
[shard 10] 45222000/70000000 seeds, 45222001 converged
[shard 10] 45224000/70000000 seeds, 45224001 converged
[shard 10] 45226000/70000000 seeds, 45226001 converged
[shard 10] 45228000/70000000 seeds, 45228001 converged
[shard 10] 45230000/70000000 seeds, 45230001 converged
[shard 10] 45232000/70000000 seeds, 45232001 converged
[shard 10] 45234000/70000000 seeds, 45234001 converged
[shard 10] 45236000/70000000 seeds, 45236001 converged
[shard 10] 45238000/70000000 seeds, 45238001 converged
[shard 10] 45240000/70000000 seeds, 45240001 converged
[shard 10] 45242000/70000000 seeds, 45242001 converged
[shard 10] 45244000/70000000 seeds, 45244001 converged
[shard 10] 45246000/70000000 seeds, 45246001 converged
[shard 10] 45248000/70000000 seeds, 45248001 converged
[shard 10] 45250000/70000000 seeds, 45250001 converged
[shard 10] 45252000/70000000 seeds, 45252001 converged
[shard 10] 45254000/70000000 seeds, 45254001 converged
[shard 10] 45256000/70000000 seeds, 45256001 converged
[shard 10] 45258000/70000000 seeds, 45258001 converged
[shard 10] 45260000/70000000 seeds, 45260001 converged
[shard 10] 45262000/70000000 seeds, 45262001 converged
[shard 10] 45264000/70000000 seeds, 45264001 converged
[shard 10] 45266000/70000000 seeds, 45266001 converged
[shard 10] 45268000/70000000 seeds, 45268001 converged
[shard 10] 45270000/70000000 seeds, 45270001 converged
[shard 10] 45272000/70000000 seeds, 45272001 converged
[shard 10] 45274000/70000000 seeds, 45274001 converged
[shard 10] 45276000/70000000 seeds, 45276001 converged
[shard 10] 45278000/70000000 seeds, 45278001 converged
[shard 10] 45280000/70000000 seeds, 45280001 converged
[shard 10] 45282000/70000000 seeds, 45282001 converged
[shard 10] 45284000/70000000 seeds, 45284001 converged
[shard 10] 45286000/70000000 seeds, 45286001 converged
[shard 10] 45288000/70000000 seeds, 45288001 converged
[shard 10] 45290000/70000000 seeds, 45290001 converged
[shard 10] 45292000/70000000 seeds, 45292001 converged
[shard 10] 45294000/70000000 seeds, 45294001 converged
[shard 10] 45296000/70000000 seeds, 45296001 converged
[shard 10] 45298000/70000000 seeds, 45298001 converged
[shard 10] 45300000/70000000 seeds, 45300001 converged
[shard 10] 45302000/70000000 seeds, 45302001 converged
[shard 10] 45304000/70000000 seeds, 45304001 converged
[shard 10] 45306000/70000000 seeds, 45306001 converged
[shard 10] 45308000/70000000 seeds, 45308001 converged
[shard 10] 45310000/70000000 seeds, 45310001 converged
[shard 10] 45312000/70000000 seeds, 45312001 converged
[shard 10] 45314000/70000000 seeds, 45314001 converged
[shard 10] 45316000/70000000 seeds, 45316001 converged
[shard 10] 45318000/70000000 seeds, 45318001 converged
[shard 10] 45320000/70000000 seeds, 45320001 converged
[shard 10] 45322000/70000000 seeds, 45322001 converged
[shard 10] 45324000/70000000 seeds, 45324001 converged
[shard 10] 45326000/70000000 seeds, 45326001 converged
[shard 10] 45328000/70000000 seeds, 45328001 converged
[shard 10] 45330000/70000000 seeds, 45330001 converged
[shard 10] 45332000/70000000 seeds, 45332001 converged
[shard 10] 45334000/70000000 seeds, 45334001 converged
[shard 10] 45336000/70000000 seeds, 45336001 converged
[shard 10] 45338000/70000000 seeds, 45338001 converged
[shard 10] 45340000/70000000 seeds, 45340001 converged
[shard 10] 45342000/70000000 seeds, 45342001 converged
[shard 10] 45344000/70000000 seeds, 45344001 converged
[shard 10] 45346000/70000000 seeds, 45346001 converged
[shard 10] 45348000/70000000 seeds, 45348001 converged
[shard 10] 45350000/70000000 seeds, 45350001 converged
[shard 10] 45352000/70000000 seeds, 45352001 converged
[shard 10] 45354000/70000000 seeds, 45354001 converged
[shard 10] 45356000/70000000 seeds, 45356001 converged
[shard 10] 45358000/70000000 seeds, 45358001 converged
[shard 10] 45360000/70000000 seeds, 45360001 converged
[shard 10] 45362000/70000000 seeds, 45362001 converged
[shard 10] 45364000/70000000 seeds, 45364001 converged
[shard 10] 45366000/70000000 seeds, 45366001 converged
[shard 10] 45368000/70000000 seeds, 45368001 converged
[shard 10] 45370000/70000000 seeds, 45370001 converged
[shard 10] 45372000/70000000 seeds, 45372001 converged
[shard 10] 45374000/70000000 seeds, 45374001 converged
[shard 10] 45376000/70000000 seeds, 45376001 converged
[shard 10] 45378000/70000000 seeds, 45378001 converged
[shard 10] 45380000/70000000 seeds, 45380001 converged
[shard 10] 45382000/70000000 seeds, 45382001 converged
[shard 10] 45384000/70000000 seeds, 45384001 converged
[shard 10] 45386000/70000000 seeds, 45386001 converged
[shard 10] 45388000/70000000 seeds, 45388001 converged
[shard 10] 45390000/70000000 seeds, 45390001 converged
[shard 10] 45392000/70000000 seeds, 45392001 converged
[shard 10] 45394000/70000000 seeds, 45394001 converged
[shard 10] 45396000/70000000 seeds, 45396001 converged
[shard 10] 45398000/70000000 seeds, 45398001 converged
[shard 10] 45400000/70000000 seeds, 45400001 converged
[shard 10] 45402000/70000000 seeds, 45402001 converged
[shard 10] 45404000/70000000 seeds, 45404001 converged
[shard 10] 45406000/70000000 seeds, 45406001 converged
[shard 10] 45408000/70000000 seeds, 45408001 converged
[shard 10] 45410000/70000000 seeds, 45410001 converged
[shard 10] 45412000/70000000 seeds, 45412001 converged
[shard 10] 45414000/70000000 seeds, 45414001 converged
[shard 10] 45416000/70000000 seeds, 45416001 converged
[shard 10] 45418000/70000000 seeds, 45418001 converged
[shard 10] 45420000/70000000 seeds, 45420001 converged
[shard 10] 45422000/70000000 seeds, 45422001 converged
[shard 10] 45424000/70000000 seeds, 45424001 converged
[shard 10] 45426000/70000000 seeds, 45426001 converged
[shard 10] 45428000/70000000 seeds, 45428001 converged
[shard 10] 45430000/70000000 seeds, 45430001 converged
[shard 10] 45432000/70000000 seeds, 45432001 converged
[shard 10] 45434000/70000000 seeds, 45434001 converged
[shard 10] 45436000/70000000 seeds, 45436001 converged
[shard 10] 45438000/70000000 seeds, 45438001 converged
[shard 10] 45440000/70000000 seeds, 45440001 converged
[shard 10] 45442000/70000000 seeds, 45442001 converged
[shard 10] 45444000/70000000 seeds, 45444001 converged
[shard 10] 45446000/70000000 seeds, 45446001 converged
[shard 10] 45448000/70000000 seeds, 45448001 converged
[shard 10] 45450000/70000000 seeds, 45450001 converged
[shard 10] 45452000/70000000 seeds, 45452001 converged
[shard 10] 45454000/70000000 seeds, 45454001 converged
[shard 10] 45456000/70000000 seeds, 45456001 converged
[shard 10] 45458000/70000000 seeds, 45458001 converged
[shard 10] 45460000/70000000 seeds, 45460001 converged
[shard 10] 45462000/70000000 seeds, 45462001 converged
[shard 10] 45464000/70000000 seeds, 45464001 converged
[shard 10] 45466000/70000000 seeds, 45466001 converged
[shard 10] 45468000/70000000 seeds, 45468001 converged
[shard 10] 45470000/70000000 seeds, 45470001 converged
[shard 10] 45472000/70000000 seeds, 45472001 converged
[shard 10] 45474000/70000000 seeds, 45474001 converged
[shard 10] 45476000/70000000 seeds, 45476001 converged
[shard 10] 45478000/70000000 seeds, 45478001 converged
[shard 10] 45480000/70000000 seeds, 45480001 converged
[shard 10] 45482000/70000000 seeds, 45482001 converged
[shard 10] 45484000/70000000 seeds, 45484001 converged
[shard 10] 45486000/70000000 seeds, 45486001 converged
[shard 10] 45488000/70000000 seeds, 45488001 converged
[shard 10] 45490000/70000000 seeds, 45490001 converged
[shard 10] 45492000/70000000 seeds, 45492001 converged
[shard 10] 45494000/70000000 seeds, 45494001 converged
[shard 10] 45496000/70000000 seeds, 45496001 converged
[shard 10] 45498000/70000000 seeds, 45498001 converged
[shard 10] 45500000/70000000 seeds, 45500001 converged
[shard 10] 45502000/70000000 seeds, 45502001 converged
[shard 10] 45504000/70000000 seeds, 45504001 converged
[shard 10] 45506000/70000000 seeds, 45506001 converged
[shard 10] 45508000/70000000 seeds, 45508001 converged
[shard 10] 45510000/70000000 seeds, 45510001 converged
[shard 10] 45512000/70000000 seeds, 45512001 converged
[shard 10] 45514000/70000000 seeds, 45514001 converged
[shard 10] 45516000/70000000 seeds, 45516001 converged
[shard 10] 45518000/70000000 seeds, 45518001 converged
[shard 10] 45520000/70000000 seeds, 45520001 converged
[shard 10] 45522000/70000000 seeds, 45522001 converged
[shard 10] 45524000/70000000 seeds, 45524001 converged
[shard 10] 45526000/70000000 seeds, 45526001 converged
[shard 10] 45528000/70000000 seeds, 45528001 converged
[shard 10] 45530000/70000000 seeds, 45530001 converged
[shard 10] 45532000/70000000 seeds, 45532001 converged
[shard 10] 45534000/70000000 seeds, 45534001 converged
[shard 10] 45536000/70000000 seeds, 45536001 converged
[shard 10] 45538000/70000000 seeds, 45538001 converged
[shard 10] 45540000/70000000 seeds, 45540001 converged
[shard 10] 45542000/70000000 seeds, 45542001 converged
[shard 10] 45544000/70000000 seeds, 45544001 converged
[shard 10] 45546000/70000000 seeds, 45546001 converged
[shard 10] 45548000/70000000 seeds, 45548001 converged
[shard 10] 45550000/70000000 seeds, 45550001 converged
[shard 10] 45552000/70000000 seeds, 45552001 converged
[shard 10] 45554000/70000000 seeds, 45554001 converged
[shard 10] 45556000/70000000 seeds, 45556001 converged
[shard 10] 45558000/70000000 seeds, 45558001 converged
[shard 10] 45560000/70000000 seeds, 45560001 converged
[shard 10] 45562000/70000000 seeds, 45562001 converged
[shard 10] 45564000/70000000 seeds, 45564001 converged
[shard 10] 45566000/70000000 seeds, 45566001 converged
[shard 10] 45568000/70000000 seeds, 45568001 converged
[shard 10] 45570000/70000000 seeds, 45570001 converged
[shard 10] 45572000/70000000 seeds, 45572001 converged
[shard 10] 45574000/70000000 seeds, 45574001 converged
[shard 10] 45576000/70000000 seeds, 45576001 converged
[shard 10] 45578000/70000000 seeds, 45578001 converged
[shard 10] 45580000/70000000 seeds, 45580001 converged
[shard 10] 45582000/70000000 seeds, 45582001 converged
[shard 10] 45584000/70000000 seeds, 45584001 converged
[shard 10] 45586000/70000000 seeds, 45586001 converged
[shard 10] 45588000/70000000 seeds, 45588001 converged
[shard 10] 45590000/70000000 seeds, 45590001 converged
[shard 10] 45592000/70000000 seeds, 45592001 converged
[shard 10] 45594000/70000000 seeds, 45594001 converged
[shard 10] 45596000/70000000 seeds, 45596001 converged
[shard 10] 45598000/70000000 seeds, 45598001 converged
[shard 10] 45600000/70000000 seeds, 45600001 converged
[shard 10] 45602000/70000000 seeds, 45602001 converged
[shard 10] 45604000/70000000 seeds, 45604001 converged
[shard 10] 45606000/70000000 seeds, 45606001 converged
[shard 10] 45608000/70000000 seeds, 45608001 converged
[shard 10] 45610000/70000000 seeds, 45610001 converged
[shard 10] 45612000/70000000 seeds, 45612001 converged
[shard 10] 45614000/70000000 seeds, 45614001 converged
[shard 10] 45616000/70000000 seeds, 45616001 converged
[shard 10] 45618000/70000000 seeds, 45618001 converged
[shard 10] 45620000/70000000 seeds, 45620001 converged
[shard 10] 45622000/70000000 seeds, 45622001 converged
[shard 10] 45624000/70000000 seeds, 45624001 converged
[shard 10] 45626000/70000000 seeds, 45626001 converged
[shard 10] 45628000/70000000 seeds, 45628001 converged
[shard 10] 45630000/70000000 seeds, 45630001 converged
[shard 10] 45632000/70000000 seeds, 45632001 converged
[shard 10] 45634000/70000000 seeds, 45634001 converged
[shard 10] 45636000/70000000 seeds, 45636001 converged
[shard 10] 45638000/70000000 seeds, 45638001 converged
[shard 10] 45640000/70000000 seeds, 45640001 converged
[shard 10] 45642000/70000000 seeds, 45642001 converged
[shard 10] 45644000/70000000 seeds, 45644001 converged
[shard 10] 45646000/70000000 seeds, 45646001 converged
[shard 10] 45648000/70000000 seeds, 45648001 converged
[shard 10] 45650000/70000000 seeds, 45650001 converged
[shard 10] 45652000/70000000 seeds, 45652001 converged
[shard 10] 45654000/70000000 seeds, 45654001 converged
[shard 10] 45656000/70000000 seeds, 45656001 converged
[shard 10] 45658000/70000000 seeds, 45658001 converged
[shard 10] 45660000/70000000 seeds, 45660001 converged
[shard 10] 45662000/70000000 seeds, 45662001 converged
[shard 10] 45664000/70000000 seeds, 45664001 converged
[shard 10] 45666000/70000000 seeds, 45666001 converged
[shard 10] 45668000/70000000 seeds, 45668001 converged
[shard 10] 45670000/70000000 seeds, 45670001 converged
[shard 10] 45672000/70000000 seeds, 45672001 converged
[shard 10] 45674000/70000000 seeds, 45674001 converged
[shard 10] 45676000/70000000 seeds, 45676001 converged
[shard 10] 45678000/70000000 seeds, 45678001 converged
[shard 10] 45680000/70000000 seeds, 45680001 converged
[shard 10] 45682000/70000000 seeds, 45682001 converged
[shard 10] 45684000/70000000 seeds, 45684001 converged
[shard 10] 45686000/70000000 seeds, 45686001 converged
[shard 10] 45688000/70000000 seeds, 45688001 converged
[shard 10] 45690000/70000000 seeds, 45690001 converged
[shard 10] 45692000/70000000 seeds, 45692001 converged
[shard 10] 45694000/70000000 seeds, 45694001 converged
[shard 10] 45696000/70000000 seeds, 45696001 converged
[shard 10] 45698000/70000000 seeds, 45698001 converged
[shard 10] 45700000/70000000 seeds, 45700001 converged
[shard 10] 45702000/70000000 seeds, 45702001 converged
[shard 10] 45704000/70000000 seeds, 45704001 converged
[shard 10] 45706000/70000000 seeds, 45706001 converged
[shard 10] 45708000/70000000 seeds, 45708001 converged
[shard 10] 45710000/70000000 seeds, 45710001 converged
[shard 10] 45712000/70000000 seeds, 45712001 converged
[shard 10] 45714000/70000000 seeds, 45714001 converged
[shard 10] 45716000/70000000 seeds, 45716001 converged
[shard 10] 45718000/70000000 seeds, 45718001 converged
[shard 10] 45720000/70000000 seeds, 45720001 converged
[shard 10] 45722000/70000000 seeds, 45722001 converged
[shard 10] 45724000/70000000 seeds, 45724001 converged
[shard 10] 45726000/70000000 seeds, 45726001 converged
[shard 10] 45728000/70000000 seeds, 45728001 converged
[shard 10] 45730000/70000000 seeds, 45730001 converged
[shard 10] 45732000/70000000 seeds, 45732001 converged
[shard 10] 45734000/70000000 seeds, 45734001 converged
[shard 10] 45736000/70000000 seeds, 45736001 converged
[shard 10] 45738000/70000000 seeds, 45738001 converged
[shard 10] 45740000/70000000 seeds, 45740001 converged
[shard 10] 45742000/70000000 seeds, 45742001 converged
[shard 10] 45744000/70000000 seeds, 45744001 converged
[shard 10] 45746000/70000000 seeds, 45746001 converged
[shard 10] 45748000/70000000 seeds, 45748001 converged
[shard 10] 45750000/70000000 seeds, 45750001 converged
[shard 10] 45752000/70000000 seeds, 45752001 converged
[shard 10] 45754000/70000000 seeds, 45754001 converged
[shard 10] 45756000/70000000 seeds, 45756001 converged
[shard 10] 45758000/70000000 seeds, 45758001 converged
[shard 10] 45760000/70000000 seeds, 45760001 converged
[shard 10] 45762000/70000000 seeds, 45762001 converged
[shard 10] 45764000/70000000 seeds, 45764001 converged
[shard 10] 45766000/70000000 seeds, 45766001 converged
[shard 10] 45768000/70000000 seeds, 45768001 converged
[shard 10] 45770000/70000000 seeds, 45770001 converged
[shard 10] 45772000/70000000 seeds, 45772001 converged
[shard 10] 45774000/70000000 seeds, 45774001 converged
[shard 10] 45776000/70000000 seeds, 45776001 converged
[shard 10] 45778000/70000000 seeds, 45778001 converged
[shard 10] 45780000/70000000 seeds, 45780001 converged
[shard 10] 45782000/70000000 seeds, 45782001 converged
[shard 10] 45784000/70000000 seeds, 45784001 converged
[shard 10] 45786000/70000000 seeds, 45786001 converged
[shard 10] 45788000/70000000 seeds, 45788001 converged
[shard 10] 45790000/70000000 seeds, 45790001 converged
[shard 10] 45792000/70000000 seeds, 45792001 converged
[shard 10] 45794000/70000000 seeds, 45794001 converged
[shard 10] 45796000/70000000 seeds, 45796001 converged
[shard 10] 45798000/70000000 seeds, 45798001 converged
[shard 10] 45800000/70000000 seeds, 45800001 converged
[shard 10] 45802000/70000000 seeds, 45802001 converged
[shard 10] 45804000/70000000 seeds, 45804001 converged
[shard 10] 45806000/70000000 seeds, 45806001 converged
[shard 10] 45808000/70000000 seeds, 45808001 converged
[shard 10] 45810000/70000000 seeds, 45810001 converged
[shard 10] 45812000/70000000 seeds, 45812001 converged
[shard 10] 45814000/70000000 seeds, 45814001 converged
[shard 10] 45816000/70000000 seeds, 45816001 converged
[shard 10] 45818000/70000000 seeds, 45818001 converged
[shard 10] 45820000/70000000 seeds, 45820001 converged
[shard 10] 45822000/70000000 seeds, 45822001 converged
[shard 10] 45824000/70000000 seeds, 45824001 converged
[shard 10] 45826000/70000000 seeds, 45826001 converged
[shard 10] 45828000/70000000 seeds, 45828001 converged
[shard 10] 45830000/70000000 seeds, 45830001 converged
[shard 10] 45832000/70000000 seeds, 45832001 converged
[shard 10] 45834000/70000000 seeds, 45834001 converged
[shard 10] 45836000/70000000 seeds, 45836001 converged
[shard 10] 45838000/70000000 seeds, 45838001 converged
[shard 10] 45840000/70000000 seeds, 45840001 converged
[shard 10] 45842000/70000000 seeds, 45842001 converged
[shard 10] 45844000/70000000 seeds, 45844001 converged
[shard 10] 45846000/70000000 seeds, 45846001 converged
[shard 10] 45848000/70000000 seeds, 45848001 converged
[shard 10] 45850000/70000000 seeds, 45850001 converged
[shard 10] 45852000/70000000 seeds, 45852001 converged
[shard 10] 45854000/70000000 seeds, 45854001 converged
[shard 10] 45856000/70000000 seeds, 45856001 converged
[shard 10] 45858000/70000000 seeds, 45858001 converged
[shard 10] 45860000/70000000 seeds, 45860001 converged
[shard 10] 45862000/70000000 seeds, 45862001 converged
[shard 10] 45864000/70000000 seeds, 45864001 converged
[shard 10] 45866000/70000000 seeds, 45866001 converged
[shard 10] 45868000/70000000 seeds, 45868001 converged
[shard 10] 45870000/70000000 seeds, 45870001 converged
[shard 10] 45872000/70000000 seeds, 45872001 converged
[shard 10] 45874000/70000000 seeds, 45874001 converged
[shard 10] 45876000/70000000 seeds, 45876001 converged
[shard 10] 45878000/70000000 seeds, 45878001 converged
[shard 10] 45880000/70000000 seeds, 45880001 converged
[shard 10] 45882000/70000000 seeds, 45882001 converged
[shard 10] 45884000/70000000 seeds, 45884001 converged
[shard 10] 45886000/70000000 seeds, 45886001 converged
[shard 10] 45888000/70000000 seeds, 45888001 converged
[shard 10] 45890000/70000000 seeds, 45890001 converged
[shard 10] 45892000/70000000 seeds, 45892001 converged
[shard 10] 45894000/70000000 seeds, 45894001 converged
[shard 10] 45896000/70000000 seeds, 45896001 converged
[shard 10] 45898000/70000000 seeds, 45898001 converged
[shard 10] 45900000/70000000 seeds, 45900001 converged
[shard 10] 45902000/70000000 seeds, 45902001 converged
[shard 10] 45904000/70000000 seeds, 45904001 converged
[shard 10] 45906000/70000000 seeds, 45906001 converged
[shard 10] 45908000/70000000 seeds, 45908001 converged
[shard 10] 45910000/70000000 seeds, 45910001 converged
[shard 10] 45912000/70000000 seeds, 45912001 converged
[shard 10] 45914000/70000000 seeds, 45914001 converged
[shard 10] 45916000/70000000 seeds, 45916001 converged
[shard 10] 45918000/70000000 seeds, 45918001 converged
[shard 10] 45920000/70000000 seeds, 45920001 converged
[shard 10] 45922000/70000000 seeds, 45922001 converged
[shard 10] 45924000/70000000 seeds, 45924001 converged
[shard 10] 45926000/70000000 seeds, 45926001 converged
[shard 10] 45928000/70000000 seeds, 45928001 converged
[shard 10] 45930000/70000000 seeds, 45930001 converged
[shard 10] 45932000/70000000 seeds, 45932001 converged
[shard 10] 45934000/70000000 seeds, 45934001 converged
[shard 10] 45936000/70000000 seeds, 45936001 converged
[shard 10] 45938000/70000000 seeds, 45938001 converged
[shard 10] 45940000/70000000 seeds, 45940001 converged
[shard 10] 45942000/70000000 seeds, 45942001 converged
[shard 10] 45944000/70000000 seeds, 45944001 converged
[shard 10] 45946000/70000000 seeds, 45946001 converged
[shard 10] 45948000/70000000 seeds, 45948001 converged
[shard 10] 45950000/70000000 seeds, 45950001 converged
[shard 10] 45952000/70000000 seeds, 45952001 converged
[shard 10] 45954000/70000000 seeds, 45954001 converged
[shard 10] 45956000/70000000 seeds, 45956001 converged
[shard 10] 45958000/70000000 seeds, 45958001 converged
[shard 10] 45960000/70000000 seeds, 45960001 converged
[shard 10] 45962000/70000000 seeds, 45962001 converged
[shard 10] 45964000/70000000 seeds, 45964001 converged
[shard 10] 45966000/70000000 seeds, 45966001 converged
[shard 10] 45968000/70000000 seeds, 45968001 converged
[shard 10] 45970000/70000000 seeds, 45970001 converged
[shard 10] 45972000/70000000 seeds, 45972001 converged
[shard 10] 45974000/70000000 seeds, 45974001 converged
[shard 10] 45976000/70000000 seeds, 45976001 converged
[shard 10] 45978000/70000000 seeds, 45978001 converged
[shard 10] 45980000/70000000 seeds, 45980001 converged
[shard 10] 45982000/70000000 seeds, 45982001 converged
[shard 10] 45984000/70000000 seeds, 45984001 converged
[shard 10] 45986000/70000000 seeds, 45986001 converged
[shard 10] 45988000/70000000 seeds, 45988001 converged
[shard 10] 45990000/70000000 seeds, 45990001 converged
[shard 10] 45992000/70000000 seeds, 45992001 converged
[shard 10] 45994000/70000000 seeds, 45994001 converged
[shard 10] 45996000/70000000 seeds, 45996001 converged
[shard 10] 45998000/70000000 seeds, 45998001 converged
[shard 10] 46000000/70000000 seeds, 46000001 converged
[shard 10] 46002000/70000000 seeds, 46002001 converged
[shard 10] 46004000/70000000 seeds, 46004001 converged
[shard 10] 46006000/70000000 seeds, 46006001 converged
[shard 10] 46008000/70000000 seeds, 46008001 converged
[shard 10] 46010000/70000000 seeds, 46010001 converged
[shard 10] 46012000/70000000 seeds, 46012001 converged
[shard 10] 46014000/70000000 seeds, 46014001 converged
[shard 10] 46016000/70000000 seeds, 46016001 converged
[shard 10] 46018000/70000000 seeds, 46018001 converged
[shard 10] 46020000/70000000 seeds, 46020001 converged
[shard 10] 46022000/70000000 seeds, 46022001 converged
[shard 10] 46024000/70000000 seeds, 46024001 converged
[shard 10] 46026000/70000000 seeds, 46026001 converged
[shard 10] 46028000/70000000 seeds, 46028001 converged
[shard 10] 46030000/70000000 seeds, 46030001 converged
[shard 10] 46032000/70000000 seeds, 46032001 converged
[shard 10] 46034000/70000000 seeds, 46034001 converged
[shard 10] 46036000/70000000 seeds, 46036001 converged
[shard 10] 46038000/70000000 seeds, 46038001 converged
[shard 10] 46040000/70000000 seeds, 46040001 converged
[shard 10] 46042000/70000000 seeds, 46042001 converged
[shard 10] 46044000/70000000 seeds, 46044001 converged
[shard 10] 46046000/70000000 seeds, 46046001 converged
[shard 10] 46048000/70000000 seeds, 46048001 converged
[shard 10] 46050000/70000000 seeds, 46050001 converged
[shard 10] 46052000/70000000 seeds, 46052001 converged
[shard 10] 46054000/70000000 seeds, 46054001 converged
[shard 10] 46056000/70000000 seeds, 46056001 converged
[shard 10] 46058000/70000000 seeds, 46058001 converged
[shard 10] 46060000/70000000 seeds, 46060001 converged
[shard 10] 46062000/70000000 seeds, 46062001 converged
[shard 10] 46064000/70000000 seeds, 46064001 converged
[shard 10] 46066000/70000000 seeds, 46066001 converged
[shard 10] 46068000/70000000 seeds, 46068001 converged
[shard 10] 46070000/70000000 seeds, 46070001 converged
[shard 10] 46072000/70000000 seeds, 46072001 converged
[shard 10] 46074000/70000000 seeds, 46074001 converged
[shard 10] 46076000/70000000 seeds, 46076001 converged
[shard 10] 46078000/70000000 seeds, 46078001 converged
[shard 10] 46080000/70000000 seeds, 46080001 converged
[shard 10] 46082000/70000000 seeds, 46082001 converged
[shard 10] 46084000/70000000 seeds, 46084001 converged
[shard 10] 46086000/70000000 seeds, 46086001 converged
[shard 10] 46088000/70000000 seeds, 46088001 converged
[shard 10] 46090000/70000000 seeds, 46090001 converged
