attempt_id,idx,shard,onset,rngstate,threshold,start,time_frac,actual_phase,depth,first_bad_offset,depth_minus_offset,eval_phase,bad_kind,rel_x,rel_y,l1,linf,period_index,offset_mod_period,phase_drift_x,phase_drift_y,comoving_rel_x,comoving_rel_y,comoving_l1,comoving_linf,linear_linf_residual,required_black,actual_black,origin_x,origin_y,heading,abs_x,abs_y,depth_bin,physical_key,is_physical_first
1:16,1,1,307906,4692330403214779697,40,163126,0.5297915597617455,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,73,-37,0,68,-39,40-77,1:163126:0:73:-37:0:45:-5:-2:frontier_black_collision:0:1,1
1:17,1,1,307906,4692330403214779697,80,164567,0.5344715595019259,0,160,160,0,0,frontier_black_collision,-8,-6,14,8,1,56,-2,-2,-6,-4,10,6,4.923076923076923,0,1,58,-39,3,52,-31,104-207,1:164567:0:58:-39:3:160:-8:-6:frontier_black_collision:0:1,1
1:18,1,1,307906,4692330403214779697,40,183333,0.5954187316908407,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,-43,2,3,-45,7,40-77,1:183333:0:-43:2:3:45:-5:-2:frontier_black_collision:0:1,1
1:19,1,1,307906,4692330403214779697,40,187536,0.6090690015784038,102,79,79,0,102,missing_black,-6,-1,7,6,0,79,-2,-2,-6,-1,7,6,4.480769230769231,1,0,-8,50,2,-2,51,78-103,1:187536:102:-8:50:2:79:-6:-1:missing_black:1:0,1
1:20,1,1,307906,4692330403214779697,40,222006,0.7210187524764051,31,46,46,0,31,missing_black,-3,-3,6,3,0,46,2,-2,-3,-3,6,3,2.1153846153846154,1,0,3,-63,0,0,-66,40-77,1:222006:31:3:-63:0:46:-3:-3:missing_black:1:0,1
1:21,1,1,307906,4692330403214779697,40,229701,0.7460101459536352,0,76,76,0,0,missing_black,-6,0,6,6,0,76,-2,-2,-6,0,6,6,4.538461538461538,1,0,77,-28,1,77,-34,40-77,1:229701:0:77:-28:1:76:-6:0:missing_black:1:0,1
1:22,1,1,307906,4692330403214779697,40,272646,0.8854845309932252,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,21,-63,0,16,-65,40-77,1:272646:0:21:-63:0:45:-5:-2:frontier_black_collision:0:1,1
1:23,1,1,307906,4692330403214779697,40,278927,0.9058836138301949,30,71,71,0,30,missing_black,0,-3,3,3,0,71,2,2,0,-3,3,3,1.6346153846153846,1,0,-30,51,1,-27,51,40-77,1:278927:30:-30:51:1:71:0:-3:missing_black:1:0,1
1:24,1,1,307906,4692330403214779697,80,287881,0.9349639175592551,30,87,87,0,30,frontier_black_collision,2,1,3,2,0,87,2,2,2,1,3,2,0.32692307692307687,0,1,41,-56,3,42,-58,78-103,1:287881:30:41:-56:3:87:2:1:frontier_black_collision:0:1,1
1:25,1,1,307906,4692330403214779697,80,293812,0.954226289841705,103,298,298,0,103,frontier_black_collision,5,-11,16,11,2,90,2,-2,1,-7,8,7,5.269230769230769,0,1,84,-4,0,89,-15,208-511,1:293812:103:84:-4:0:298:5:-11:frontier_black_collision:0:1,1
1:26,1,1,307906,4692330403214779697,40,295238,0.9588575734152631,25,76,76,0,25,missing_black,-2,0,2,2,0,76,2,-2,-2,0,2,2,0.5384615384615385,1,0,87,-37,0,85,-37,40-77,1:295238:25:87:-37:0:76:-2:0:missing_black:1:0,1
1:27,1,1,307906,4692330403214779697,40,307677,0.9992562665228999,103,45,45,0,103,missing_black,3,-4,7,4,0,45,2,-2,3,-4,7,4,3.1346153846153846,1,0,13,64,1,17,67,40-77,1:307677:103:13:64:1:45:3:-4:missing_black:1:0,1
2:0,2,2,302092,694356338346996168,40,776,0.002568753889543583,24,52,52,0,24,missing_black,-6,2,8,6,0,52,-2,-2,-6,2,8,6,5.0,1,0,-2,-10,0,-8,-8,40-77,2:776:24:-2:-10:0:52:-6:2:missing_black:1:0,1
2:1,2,2,302092,694356338346996168,40,10186,0.03371820505011718,30,47,47,0,30,missing_black,4,-3,7,4,0,47,2,2,4,-3,7,4,3.0961538461538463,1,0,13,7,0,17,4,40-77,2:10186:30:13:7:0:47:4:-3:missing_black:1:0,1
2:2,2,2,302092,694356338346996168,40,14638,0.04845543741641619,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,-17,15,2,-12,17,40-77,2:14638:0:-17:15:2:45:-5:-2:frontier_black_collision:0:1,1
2:3,2,2,302092,694356338346996168,40,31743,0.10507726123167777,103,45,45,0,103,missing_black,3,-4,7,4,0,45,2,-2,3,-4,7,4,3.1346153846153846,1,0,14,9,1,18,12,40-77,2:31743:103:14:9:1:45:3:-4:missing_black:1:0,1
2:4,2,2,302092,694356338346996168,40,50185,0.16612488910662976,0,43,43,0,0,frontier_black_collision,-4,-1,5,4,0,43,-2,-2,-4,-1,5,4,3.1730769230769234,0,1,-11,26,1,-10,22,40-77,2:50185:0:-11:26:1:43:-4:-1:frontier_black_collision:0:1,1
2:5,2,2,302092,694356338346996168,40,53946,0.17857473882128624,103,46,46,0,103,frontier_black_collision,3,-5,8,5,0,46,2,-2,3,-5,8,5,4.115384615384615,0,1,-31,-5,2,-34,0,40-77,2:53946:103:-31:-5:2:46:3:-5:frontier_black_collision:0:1,1
2:6,2,2,302092,694356338346996168,40,62974,0.20845967453623399,103,46,46,0,103,frontier_black_collision,3,-5,8,5,0,46,2,-2,3,-5,8,5,4.115384615384615,0,1,-33,-23,2,-36,-18,40-77,2:62974:103:-33:-23:2:46:3:-5:frontier_black_collision:0:1,1
2:7,2,2,302092,694356338346996168,40,67291,0.222750023171749,101,74,74,0,101,frontier_black_collision,-3,9,12,9,0,74,-2,2,-3,9,12,9,7.576923076923077,0,1,-50,5,3,-41,8,40-77,2:67291:101:-50:5:3:74:-3:9:frontier_black_collision:0:1,1
2:8,2,2,302092,694356338346996168,40,68667,0.22730492697588814,103,44,44,0,103,frontier_black_collision,2,-4,6,4,0,44,2,-2,2,-4,6,4,3.1538461538461537,0,1,-38,25,1,-34,27,40-77,2:68667:103:-38:25:1:44:2:-4:frontier_black_collision:0:1,1
2:9,2,2,302092,694356338346996168,80,71912,0.23804668776399243,24,95,95,0,24,frontier_black_collision,-2,-3,5,3,0,95,-2,-2,-2,-3,5,3,1.1730769230769231,0,1,-32,-28,0,-34,-31,78-103,2:71912:24:-32:-28:0:95:-2:-3:frontier_black_collision:0:1,1
2:10,2,2,302092,694356338346996168,40,97711,0.3234478238417436,25,73,73,0,25,missing_black,-3,-2,5,3,0,73,2,-2,-3,-2,5,3,1.5961538461538463,1,0,-50,-13,3,-52,-10,40-77,2:97711:25:-50:-13:3:73:-3:-2:missing_black:1:0,1
2:11,2,2,302092,694356338346996168,40,101113,0.33470929385750037,103,44,44,0,103,frontier_black_collision,2,-4,6,4,0,44,2,-2,2,-4,6,4,3.1538461538461537,0,1,13,-44,3,9,-46,40-77,2:101113:103:13:-44:3:44:2:-4:frontier_black_collision:0:1,1
2:12,2,2,302092,694356338346996168,40,111233,0.36820902241701203,31,40,40,0,31,frontier_black_collision,-2,-6,8,6,0,40,2,-2,-2,-6,8,6,5.230769230769231,0,1,41,-46,1,47,-48,40-77,2:111233:31:41:-46:1:40:-2:-6:frontier_black_collision:0:1,1
2:13,2,2,302092,694356338346996168,40,111302,0.3684374296571905,24,46,46,0,24,frontier_black_collision,-7,1,8,7,0,46,-2,-2,-7,1,8,7,6.115384615384615,0,1,45,-47,2,52,-48,40-77,2:111302:24:45:-47:2:46:-7:1:frontier_black_collision:0:1,1
2:14,2,2,302092,694356338346996168,40,112271,0.3716450617692623,0,55,55,0,0,frontier_black_collision,-6,-3,9,6,0,55,-2,-2,-6,-3,9,6,4.9423076923076925,0,1,18,-59,3,15,-53,40-77,2:112271:0:18:-59:3:55:-6:-3:frontier_black_collision:0:1,1
2:15,2,2,302092,694356338346996168,40,120431,0.39865670060776187,30,47,47,0,30,missing_black,4,-3,7,4,0,47,2,2,4,-3,7,4,3.0961538461538463,1,0,-44,-23,1,-41,-19,40-77,2:120431:30:-44:-23:1:47:4:-3:missing_black:1:0,1
2:16,2,2,302092,694356338346996168,80,121818,0.40324801716033526,102,100,100,0,102,missing_black,-4,0,4,4,0,100,-2,-2,-4,0,4,4,2.0769230769230766,1,0,29,23,2,33,23,78-103,2:121818:102:29:23:2:100:-4:0:missing_black:1:0,1
2:17,2,2,302092,694356338346996168,40,122159,0.40437681236179707,31,70,70,0,31,missing_black,-3,1,4,3,0,70,2,-2,-3,1,4,3,1.6538461538461537,1,0,36,23,1,35,20,40-77,2:122159:31:36:23:1:70:-3:1:missing_black:1:0,1
2:18,2,2,302092,694356338346996168,40,140293,0.46440488328059004,0,77,77,0,0,missing_black,-5,0,5,5,0,77,-2,-2,-5,0,5,5,3.519230769230769,1,0,-67,-10,3,-67,-5,40-77,2:140293:0:-67:-10:3:77:-5:0:missing_black:1:0,1
2:19,2,2,302092,694356338346996168,80,162342,0.537392582392119,0,150,150,0,0,frontier_black_collision,-7,-5,12,7,1,46,-2,-2,-5,-3,8,5,4.115384615384615,0,1,-53,15,2,-46,20,104-207,2:162342:0:-53:15:2:150:-7:-5:frontier_black_collision:0:1,1
2:20,2,2,302092,694356338346996168,40,170122,0.563146326284708,0,77,77,0,0,missing_black,-5,0,5,5,0,77,-2,-2,-5,0,5,5,3.519230769230769,1,0,15,43,2,20,43,40-77,2:170122:0:15:43:2:77:-5:0:missing_black:1:0,1
2:21,2,2,302092,694356338346996168,40,171483,0.5676515763409822,31,67,67,0,31,missing_black,-4,-1,5,4,0,67,2,-2,-4,-1,5,4,2.7115384615384617,1,0,38,25,1,39,21,40-77,2:171483:31:38:25:1:67:-4:-1:missing_black:1:0,1
2:22,2,2,302092,694356338346996168,40,178380,0.5904823696092582,24,46,46,0,24,frontier_black_collision,-7,1,8,7,0,46,-2,-2,-7,1,8,7,6.115384615384615,0,1,-2,46,2,5,45,40-77,2:178380:24:-2:46:2:46:-7:1:frontier_black_collision:0:1,1
2:23,2,2,302092,694356338346996168,40,185357,0.6135779828661467,102,58,58,0,102,frontier_black_collision,-7,-5,12,7,0,58,-2,-2,-7,-5,12,7,5.884615384615385,0,1,33,38,3,28,45,40-77,2:185357:102:33:38:3:58:-7:-5:frontier_black_collision:0:1,1
