class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
119,26,-6,2,0,1,60,49,11,0.8166666666666667,4,1,3,3,60,49,11,0,0,0,1,60,1,49,11,0;1,44,6,6,34,"31,-96:1;33,-98:1;35,-100:1;37,-102:1;39,-104:1;41,-106:1;43,-108:1;45,-110:1"
120,100,-5,-2,1,1,26,12,14,0.46153846153846156,26,12,14,0,24,10,14,2,2,0,1,26,1,12,14,0;1,81,5,5,5,"-5,42:1;-10,61:1;-8,63:1;-11,18:1;61,-33:1;50,5:1;-25,-27:1;4,-26:1"
121,24,-6,1,0,1,1125,1097,28,0.9751111111111112,75,62,13,13,1095,1067,28,30,30,0,1,1093,1,1065,28,0;1,51,6,6,34,"-20,-43:2;-22,-45:2;-48,74:2;-50,76:2;-52,78:2;-54,80:2;-56,82:2;-58,84:2"
122,98,2,6,0,1,90,78,12,0.8666666666666667,6,4,2,2,75,63,12,15,15,0,1,90,1,78,12,0;1,44,6,6,34,"-76,-86:1;-78,-88:1;-80,-90:1;-82,-92:1;-84,-94:1;-86,-96:1;-88,-98:1;-90,-100:1"
123,103,0,-2,1,1,128,95,33,0.7421875,128,95,33,0,125,92,33,3,3,0,1,128,1,95,33,0;1,100,2,2,2,"20,29:1;45,-21:1;7,44:1;15,-63:1;61,-43:1;-31,9:1;-31,-12:1;84,-6:1"
124,101,-5,4,0,1,90,75,15,0.8333333333333334,6,2,4,4,90,75,15,0,0,0,1,90,1,75,15,0;1,41,5,5,33,"28,-20:1;30,-18:1;32,-16:1;34,-14:1;36,-12:1;38,-10:1;40,-8:1;42,-6:1"
125,26,-7,2,0,1,60,47,13,0.7833333333333333,4,1,3,3,60,47,13,0,0,0,1,60,1,47,13,0;1,45,7,7,35,"31,-97:1;33,-99:1;35,-101:1;37,-103:1;39,-105:1;41,-107:1;43,-109:1;45,-111:1"
126,101,-2,7,1,1,6,2,4,0.3333333333333333,6,2,4,0,6,2,4,0,0,0,1,6,1,2,4,0;1,79,7,7,7,"31,-23:1;-43,7:1;63,37:1;-33,68:1;-6,25:1;56,-15:1"
127,25,-2,-6,0,1,405,400,5,0.9876543209876543,27,24,3,3,375,370,5,30,30,0,1,391,1,388,5,0;1,64,6,6,34,"50,-10:2;52,-12:2;54,-14:2;56,-16:2;58,-18:2;60,-20:2;62,-22:2;64,-24:2"
128,16,6,2,0,1,128,119,9,0.9296875,8,6,2,2,128,119,9,0,0,0,1,128,1,119,9,0;1,40,6,6,36,"20,64:1;22,66:1;24,68:1;26,70:1;28,72:1;30,74:1;32,76:1;34,78:1"
129,0,-5,-4,0,1,4710,4345,365,0.9225053078556263,314,233,81,80,4560,4195,365,150,150,0,1,4105,1,3806,339,0;1,57,5,5,33,"17,68:5;1,52:4;3,54:4;5,56:4;7,58:4;9,60:4;11,62:4;13,64:4"
130,24,-6,-1,0,1,1200,1184,16,0.9866666666666667,75,70,5,5,1168,1152,16,32,32,0,1,1164,1,1148,16,0;1,31,6,6,36,"-20,-45:2;-22,-47:2;-24,-49:2;-50,74:2;-52,76:2;-54,78:2;-56,80:2;-58,82:2"
131,97,-3,7,0,1,75,66,9,0.88,5,3,2,2,60,51,9,15,15,0,1,75,1,66,9,0;1,78,7,7,35,"-39,25:1;-41,27:1;-43,29:1;-45,31:1;-47,33:1;-49,35:1;-51,37:1;-53,39:1"
