Lpred,H,threshold,deep_bin,bite_bin,deep_count_low,deep_count_high,deep_rate_low,deep_rate_high,bite_count_low,bite_count_high,bite_rate_low,bite_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
313,1040,80,2,2,72,78,0.23003194888178913,0.24920127795527156,1,14,0.003194888178913738,0.04472843450479233,79231,0.24014783802589929,0.02007967723931932,1168,0.01474170463581174
313,1040,80,2,3,72,78,0.23003194888178913,0.24920127795527156,15,36,0.04792332268370607,0.11501597444089456,75473,0.2388039325491131,0.07499531495702556,1204,0.015952724815496932
313,1040,80,2,4,72,78,0.23003194888178913,0.24920127795527156,37,111,0.1182108626198083,0.3546325878594249,9933,0.23697945564355408,0.1366966985512241,303,0.030504379341588644
313,1040,80,3,0,79,86,0.2523961661341853,0.2747603833865815,0,0,0.0,0.0,220988,0.2635475096416062,0.0,2269,0.010267525838507069
313,1040,80,3,2,79,86,0.2523961661341853,0.2747603833865815,1,14,0.003194888178913738,0.04472843450479233,92596,0.26309374179246015,0.017767105914916016,1511,0.01631819949025876
313,1040,80,3,3,79,86,0.2523961661341853,0.2747603833865815,15,36,0.04792332268370607,0.11501597444089456,40091,0.2610569739784583,0.06954904429483778,708,0.017659823900626075
313,1040,80,3,4,79,86,0.2523961661341853,0.2747603833865815,37,111,0.1182108626198083,0.3546325878594249,2066,0.25973543975331637,0.132442496652016,69,0.03339787028073572
313,1040,80,4,0,87,124,0.2779552715654952,0.3961661341853035,0,0,0.0,0.0,212313,0.29540062535644424,0.0,1621,0.00763495405368489
313,1040,80,4,2,87,124,0.2779552715654952,0.3961661341853035,1,14,0.003194888178913738,0.04472843450479233,68322,0.2938623748678395,0.014853877892444377,942,0.013787652586282603
313,1040,80,4,3,87,124,0.2779552715654952,0.3961661341853035,15,36,0.04792332268370607,0.11501597444089456,10141,0.28827557005330584,0.06432654208251291,173,0.01705946159155902
313,1040,80,4,4,87,124,0.2779552715654952,0.3961661341853035,37,111,0.1182108626198083,0.3546325878594249,223,0.2863364804653362,0.13258069599851,1,0.004484304932735426
1040,312,40,0,0,106,214,0.10192307692307692,0.20576923076923076,0,1,0.0,0.0009615384615384616,49,0.20319858712715855,0.0,0,0.0
1040,312,40,0,1,106,214,0.10192307692307692,0.20576923076923076,2,28,0.0019230769230769232,0.026923076923076925,420,0.20197573260073395,0.01934523809523819,13,0.030952380952380953
1040,312,40,0,2,106,214,0.10192307692307692,0.20576923076923076,29,61,0.027884615384615386,0.058653846153846154,7889,0.20050886336378582,0.048959237302186466,1206,0.15287108632272786
1040,312,40,0,3,106,214,0.10192307692307692,0.20576923076923076,62,101,0.05961538461538462,0.09711538461538462,64904,0.1970082441286367,0.08301104767748978,11673,0.1798502403549858
1040,312,40,0,4,106,214,0.10192307692307692,0.20576923076923076,102,308,0.09807692307692308,0.29615384615384616,258154,0.18173776788574128,0.138632754092492,62262,0.24118162027317028
1040,312,40,1,0,215,238,0.20673076923076922,0.22884615384615384,0,1,0.0,0.0009615384615384616,6436,0.22358966390974014,8.889300568915206e-05,170,0.026413921690490987
1040,312,40,1,1,215,238,0.20673076923076922,0.22884615384615384,2,28,0.0019230769230769232,0.026923076923076925,16861,0.22291929943015718,0.01664189777958105,2128,0.12620840994009846
1040,312,40,1,2,215,238,0.20673076923076922,0.22884615384615384,29,61,0.027884615384615386,0.058653846153846154,84290,0.22061172736980394,0.046333046624758976,12703,0.1507058963103571
1040,312,40,1,3,215,238,0.20673076923076922,0.22884615384615384,62,101,0.05961538461538462,0.09711538461538462,159659,0.2181279982771005,0.07811245674073485,27153,0.1700687089359197
1040,312,40,1,4,215,238,0.20673076923076922,0.22884615384615384,102,308,0.09807692307692308,0.29615384615384616,60576,0.21460152408668945,0.11269724110088541,12210,0.20156497622820918
1040,312,40,2,0,239,256,0.2298076923076923,0.24615384615384617,0,1,0.0,0.0009615384615384616,51531,0.2403427809697478,9.497643688714405e-05,2169,0.042091168422891075
1040,312,40,2,1,239,256,0.2298076923076923,0.24615384615384617,2,28,0.0019230769230769232,0.026923076923076925,69372,0.23939071239106532,0.015576792787154148,7738,0.11154356224413307
1040,312,40,2,2,239,256,0.2298076923076923,0.24615384615384617,29,61,0.027884615384615386,0.058653846153846154,125380,0.23807472207548253,0.0431270706284076,17703,0.14119476790556706
1040,312,40,2,3,239,256,0.2298076923076923,0.24615384615384617,62,101,0.05961538461538462,0.09711538461538462,75100,0.2364514109391655,0.07319050240701039,12057,0.16054593874833556
