idx,pair_index,prev_lock_index,next_lock_index,gap,prev_start,next_start,prev_phase,next_phase,prev_ok,next_ok,prev_bad_kind,next_bad_kind,prev_bad_offset,next_bad_offset,same_phase,same_bad_kind,same_critical_cell,critical_l1,prev_start_mod8,next_start_mod8,prev_start_mod16,next_start_mod16
4,26,26,27,1354,221611,222965,0,0,0,0,missing_black,frontier_black_collision,77,71,1,0,0,116,3,5,11,5
4,27,27,28,8460,222965,231425,0,102,0,0,frontier_black_collision,frontier_black_collision,71,40,0,1,0,85,5,1,5,1
4,28,28,29,7662,231425,239087,102,25,0,0,frontier_black_collision,missing_black,40,52,0,0,0,100,1,7,1,15
4,29,29,30,201,239087,239288,25,30,0,0,missing_black,missing_black,52,68,0,1,0,1,7,0,15,8
4,30,30,31,6776,239288,246064,30,24,0,0,missing_black,missing_black,68,74,0,1,0,190,0,0,8,0
4,31,31,32,18850,246064,264914,24,24,0,0,missing_black,missing_black,74,52,1,1,0,134,0,2,0,2
4,32,32,33,19588,264914,284502,24,102,0,0,missing_black,missing_black,52,79,0,1,0,149,2,6,2,6
4,33,33,34,167,284502,284669,102,24,0,0,missing_black,missing_black,79,77,0,1,0,9,6,5,6,13
4,34,34,35,2079,284669,286748,24,0,0,1,missing_black,,77,,0,,,,5,4,13,12
5,0,0,1,5213,4642,9855,0,100,0,0,missing_black,missing_black,77,48,0,1,0,16,2,7,2,15
5,1,1,2,3040,9855,12895,100,103,0,0,missing_black,missing_black,48,45,0,1,0,53,7,7,15,15
5,2,2,3,319,12895,13214,103,30,0,0,missing_black,frontier_black_collision,45,40,0,0,0,26,7,6,15,14
5,3,3,4,4727,13214,17941,30,0,0,0,frontier_black_collision,frontier_black_collision,40,71,0,1,0,56,6,5,14,5
5,4,4,5,1134,17941,19075,0,0,0,0,frontier_black_collision,missing_black,71,76,1,0,0,29,5,3,5,3
5,5,5,6,6526,19075,25601,0,0,0,0,missing_black,frontier_black_collision,76,71,1,0,0,27,3,1,3,1
5,6,6,7,1287,25601,26888,0,0,0,0,frontier_black_collision,missing_black,71,98,1,0,0,34,1,0,1,8
5,7,7,8,2730,26888,29618,0,0,0,0,missing_black,missing_black,98,98,1,1,0,58,0,2,8,2
5,8,8,9,6991,29618,36609,0,0,0,0,missing_black,missing_black,98,77,1,1,0,58,2,1,2,1
5,9,9,10,1093,36609,37702,0,100,0,0,missing_black,frontier_black_collision,77,65,0,0,0,57,1,6,1,6
5,10,10,11,5840,37702,43542,100,31,0,0,frontier_black_collision,missing_black,65,45,0,0,0,18,6,6,6,6
5,11,11,12,11052,43542,54594,31,24,0,0,missing_black,missing_black,45,74,0,1,0,69,6,2,6,2
5,12,12,13,223,54594,54817,24,103,0,0,missing_black,frontier_black_collision,74,46,0,0,0,19,2,1,2,1
5,13,13,14,4311,54817,59128,103,103,0,0,frontier_black_collision,frontier_black_collision,46,71,1,1,0,24,1,0,1,8
5,14,14,15,110,59128,59238,103,0,0,0,frontier_black_collision,missing_black,71,98,0,0,0,7,0,6,8,6
5,15,15,16,224,59238,59462,0,0,0,0,missing_black,missing_black,98,99,1,1,0,3,6,6,6,6
5,16,16,17,339,59462,59801,0,99,0,0,missing_black,frontier_black_collision,99,1533,0,0,0,69,6,1,6,9
5,17,17,18,12997,59801,72798,99,0,0,0,frontier_black_collision,frontier_black_collision,1533,45,0,1,0,125,1,6,9,14
5,18,18,19,12684,72798,85482,0,0,0,0,frontier_black_collision,frontier_black_collision,45,61,1,1,0,120,6,2,14,10
5,19,19,20,18225,85482,103707,0,0,0,0,frontier_black_collision,frontier_black_collision,61,43,1,1,0,73,2,3,10,11
5,20,20,21,6368,103707,110075,0,24,0,0,frontier_black_collision,missing_black,43,53,0,0,0,108,3,3,11,11
5,21,21,22,34434,110075,144509,24,0,0,0,missing_black,missing_black,53,77,0,1,0,70,3,5,11,13
5,22,22,23,3191,144509,147700,0,102,0,0,missing_black,missing_black,77,100,0,1,0,72,5,4,13,4
5,23,23,24,109,147700,147809,102,0,0,0,missing_black,frontier_black_collision,100,43,0,0,0,6,4,1,4,1
5,24,24,25,12921,147809,160730,0,103,0,0,frontier_black_collision,missing_black,43,45,0,0,0,181,1,2,1,10
5,25,25,26,5253,160730,165983,103,25,0,0,missing_black,frontier_black_collision,45,75,0,0,0,117,2,7,10,15
5,26,26,27,33597,165983,199580,25,0,0,0,frontier_black_collision,frontier_black_collision,75,45,0,1,0,51,7,4,15,12
5,27,27,28,1886,199580,201466,0,24,0,0,frontier_black_collision,frontier_black_collision,45,46,0,1,0,55,4,2,12,10
5,28,28,29,161,201466,201627,24,101,0,0,frontier_black_collision,frontier_black_collision,46,48,0,1,0,3,2,3,10,11
5,29,29,30,18552,201627,220179,101,0,0,0,frontier_black_collision,missing_black,48,77,0,0,0,69,3,3,11,3
5,30,30,31,1404,220179,221583,0,30,0,0,missing_black,missing_black,77,71,0,1,0,80,3,7,3,15
5,31,31,32,2131,221583,223714,30,103,0,0,missing_black,frontier_black_collision,71,46,0,0,0,30,7,2,15,2
5,32,32,33,763,223714,224477,103,30,0,0,frontier_black_collision,missing_black,46,71,0,0,0,18,2,5,2,13
5,33,33,34,21698,224477,246175,30,102,0,0,missing_black,frontier_black_collision,71,47,0,0,0,42,5,7,13,15
5,34,34,35,4403,246175,250578,102,30,0,0,frontier_black_collision,missing_black,47,68,0,0,0,6,7,2,15,2
5,35,35,36,77,250578,250655,30,0,0,0,missing_black,missing_black,68,77,0,1,0,6,2,7,2,15
5,36,36,37,557,250655,251212,0,24,0,0,missing_black,frontier_black_collision,77,47,0,0,0,29,7,4,15,12
