idx,shard,onset,rngstate,threshold,start,kind,phase,is_gate,depth,death_step,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,exogenous_reads_checked,verdict
0,0,313358,4700473787566636120,40,294540,pre_onset_lock,41,0,40,294580,40,-2,0,-38,24,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,295245,pre_onset_lock,31,1,71,295316,71,-2,1,-50,-2,1,0,missing_black,32,gate_exact_death
0,0,313358,4700473787566636120,40,296934,pre_onset_lock,40,0,41,296975,41,1,-2,-54,-3,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,297153,pre_onset_lock,36,0,41,297194,41,-3,2,-47,13,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,298040,pre_onset_lock,41,0,40,298080,40,-2,0,-46,22,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,299290,pre_onset_lock,24,1,77,299367,77,-1,2,-54,-5,1,0,missing_black,36,gate_exact_death
0,0,313358,4700473787566636120,40,300173,pre_onset_lock,36,0,45,300218,45,-1,2,-27,37,1,0,missing_black,25,mute_early_death
0,0,313358,4700473787566636120,40,310377,pre_onset_lock,25,1,45,310422,45,-1,-6,25,57,0,1,frontier_black_collision,23,gate_exact_death
0,0,313358,4700473787566636120,40,310657,pre_onset_lock,41,0,40,310697,40,-2,0,25,58,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,311063,pre_onset_lock,0,1,76,311139,76,-6,0,28,53,1,0,missing_black,35,gate_exact_death
0,0,313358,4700473787566636120,40,313222,pre_onset_lock,100,1,102,313324,102,-3,-1,-12,60,1,0,missing_black,43,gate_exact_death
0,0,313358,4700473787566636120,80,313222,pre_onset_lock,100,1,102,313324,102,-3,-1,-12,60,1,0,missing_black,43,gate_exact_death
0,0,313358,4700473787566636120,0,313358,entry,100,1,1248,,,,,,,,,,286,entry_ok
