idx,horizon,attempts,entries,failures,any_clear,any_clear_rate,actual_is_best,actual_is_best_rate,clear_phase_count_total,best_h,actual_h
11,512,25,1,24,1,0.04,25,1.0,1,"{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 513, 'mean': 76.56}","{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 513, 'mean': 76.56}"
11,1600,25,1,24,1,0.04,25,1.0,1,"{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 1601, 'mean': 120.08}","{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 1601, 'mean': 120.08}"
12,208,28,1,27,1,0.03571428571428571,28,1.0,1,"{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 209, 'mean': 70.92857142857143}","{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 209, 'mean': 70.92857142857143}"
12,512,28,1,27,1,0.03571428571428571,28,1.0,1,"{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 513, 'mean': 81.78571428571429}","{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 513, 'mean': 81.78571428571429}"
12,1600,28,1,27,1,0.03571428571428571,28,1.0,1,"{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 1601, 'mean': 120.64285714285714}","{'min': 43, 'q25': 46.0, 'median': 71.0, 'q75': 77.0, 'max': 1601, 'mean': 120.64285714285714}"
13,208,32,1,31,2,0.0625,32,1.0,2,"{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 209, 'mean': 69.59375}","{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 209, 'mean': 69.59375}"
13,512,32,1,31,1,0.03125,32,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 513, 'mean': 81.28125}","{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 513, 'mean': 81.28125}"
13,1600,32,1,31,1,0.03125,32,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 1601, 'mean': 115.28125}","{'min': 40, 'q25': 45.0, 'median': 55.5, 'q75': 77.5, 'max': 1601, 'mean': 115.28125}"
14,208,32,1,31,1,0.03125,32,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 209, 'mean': 60.15625}","{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 209, 'mean': 60.15625}"
14,512,32,1,31,1,0.03125,32,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 513, 'mean': 69.65625}","{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 513, 'mean': 69.65625}"
14,1600,32,1,31,1,0.03125,32,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 1601, 'mean': 103.65625}","{'min': 40, 'q25': 45.0, 'median': 45.5, 'q75': 71.0, 'max': 1601, 'mean': 103.65625}"
15,208,33,1,32,1,0.030303030303030304,33,1.0,1,"{'min': 40, 'q25': 45.5, 'median': 47, 'q75': 70.0, 'max': 209, 'mean': 59.54545454545455}","{'min': 40, 'q25': 45.5, 'median': 47, 'q75': 70.0, 'max': 209, 'mean': 59.54545454545455}"
15,512,33,1,32,1,0.030303030303030304,33,1.0,1,"{'min': 40, 'q25': 45.5, 'median': 47, 'q75': 70.0, 'max': 513, 'mean': 68.75757575757575}","{'min': 40, 'q25': 45.5, 'median': 47, 'q75': 70.0, 'max': 513, 'mean': 68.75757575757575}"
