predictor,Lpred,H,threshold,bin,bin_count_low,bin_count_high,bin_rate_low,bin_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
fresh_bite,1040,312,80,0,0,1,0.0,0.0009615384615384616,358462,0.2626356999326522,0.0001097396655712697,547,0.001525963700475922
fresh_bite,1040,312,80,1,2,28,0.0019230769230769232,0.026923076923076925,301579,0.2562218389262779,0.013374216017378841,858,0.0028450256814963907
fresh_bite,1040,312,80,2,29,61,0.027884615384615386,0.058653846153846154,324383,0.23907935040696163,0.042908276280236614,1955,0.006026826313339478
fresh_bite,1040,312,80,3,62,101,0.05961538461538462,0.09711538461538462,317167,0.22010482951106075,0.07747706801398702,2372,0.007478709954062056
fresh_bite,1040,312,80,4,102,308,0.09807692307692308,0.29615384615384616,324585,0.1888411415286701,0.13323503325542865,4283,0.013195310935502257
fresh_bite,1040,1040,40,0,0,1,0.0,0.0009615384615384616,357388,0.2626636957162607,0.00010991609205597495,60261,0.16861506262101694
fresh_bite,1040,1040,40,1,2,28,0.0019230769230769232,0.026923076923076925,300788,0.25622104720322225,0.01337042522153763,89616,0.2979374177161323
fresh_bite,1040,1040,40,2,29,61,0.027884615384615386,0.058653846153846154,323541,0.23906867230946283,0.04291164619962768,118958,0.36767519417940847
fresh_bite,1040,1040,40,3,62,101,0.05961538461538462,0.09711538461538462,316168,0.22012928131683454,0.07746270909046962,127820,0.40427873788618707
fresh_bite,1040,1040,40,4,102,308,0.09807692307692308,0.29615384615384616,323923,0.18883334156576223,0.1332717634223568,160074,0.4941729979038228
fresh_bite,1040,1040,80,0,0,1,0.0,0.0009615384615384616,357388,0.2626636957162607,0.00010991609205597495,2968,0.008304699654157387
fresh_bite,1040,1040,80,1,2,28,0.0019230769230769232,0.026923076923076925,300788,0.25622104720322225,0.01337042522153763,3660,0.01216803861856191
fresh_bite,1040,1040,80,2,29,61,0.027884615384615386,0.058653846153846154,323541,0.23906867230946283,0.04291164619962768,4765,0.014727654300382332
fresh_bite,1040,1040,80,3,62,101,0.05961538461538462,0.09711538461538462,316168,0.22012928131683454,0.07746270909046962,6222,0.0196794109460793
fresh_bite,1040,1040,80,4,102,308,0.09807692307692308,0.29615384615384616,323923,0.18883334156576223,0.1332717634223568,9270,0.028617912281622485
fresh_bite,3120,312,40,0,0,58,0.0,0.01858974358974359,327183,0.2593721818975711,0.0073424466367329345,20113,0.061473242802957365
fresh_bite,3120,312,40,1,59,119,0.01891025641025641,0.038141025641025644,320659,0.24754168918633823,0.028741663502092007,32864,0.10248893684568341
fresh_bite,3120,312,40,2,120,182,0.038461538461538464,0.058333333333333334,322205,0.23593321101895384,0.04835628416207641,43435,0.13480548098260425
fresh_bite,3120,312,40,3,183,258,0.058653846153846154,0.08269230769230769,321093,0.2239731846999331,0.06976276523297958,51222,0.15952387626014894
fresh_bite,3120,312,40,4,259,685,0.08301282051282051,0.21955128205128205,322556,0.20262725995351583,0.1079562670254402,66908,0.2074306477014844
fresh_bite,3120,312,80,0,0,58,0.0,0.01858974358974359,327183,0.2593721818975711,0.0073424466367329345,548,0.0016749036471943835
fresh_bite,3120,312,80,1,59,119,0.01891025641025641,0.038141025641025644,320659,0.24754168918633823,0.028741663502092007,1172,0.0036549730398959643
fresh_bite,3120,312,80,2,120,182,0.038461538461538464,0.058333333333333334,322205,0.23593321101895384,0.04835628416207641,1782,0.0055306404307816455
